LR_00025,LR_0005,LR_00075,LR_001
-108.9863199,-20.71835438,-41.54552969,-14.64140828
-35.14917692,-31.68911435,-5.81374995,-47.51816368
-26.13267628,-68.43493525,-2.072699233,-56.49994151
-37.01794116,-44.00415039,24.51286506,-51.59449895
-58.5495154,-60.80312982,-40.51777585,-50.76317215
41.2145494,-24.9336923,-4.860668662,-42.32244166
-9.227360407,-29.53672091,15.18890063,-62.16876348
-45.12623532,-11.97171529,-10.78876114,-49.70315297
91.74576443,-18.06776937,3.71673393,0.046490353
-12.77759647,-38.61183675,-16.51859792,-30.33037671
65.31889186,-50.82193756,38.7534779,-70.00872548
-26.66294606,43.1869006,-17.7540617,-7.00038274
72.70290119,-54.19094656,-12.17594274,-59.36478425
-10.84757741,-6.627292633,8.633332573,-15.4906593
112.7543772,30.71482339,-50.60389678,-21.03158379
76.67879994,98.65361308,54.36836497,-45.20944405
30.39477476,-38.4653759,37.83497129,-16.79669762
34.31826495,10.66108861,2.710476439,-59.69512812
-3.879317283,158.1856689,-43.22502383,-38.34670258
12.41722463,55.45387522,30.31193796,126.5373603
88.62995418,25.4087639,23.47922262,40.3301201
56.85175897,72.65383278,59.03896809,-49.26115545
124.6994909,-22.95777639,31.42623456,30.48601469
66.01980275,39.63267765,-51.8481264,-15.036026
107.1927875,-36.09098655,74.24591891,-37.51178988
124.5281157,175.826589,8.252207453,-28.55085226
56.41317432,124.6191414,-118.7984568,-24.39587148
180.3191376,132.6815707,-16.02281873,23.6472791
158.1328989,93.25714238,156.511501,-81.01493771
113.4152527,-7.697294877,-6.03401947,-37.61938858
100.096199,138.6850167,63.25691509,-28.22216431
73.83325197,80.34446717,83.24891661,-37.14488792
-18.88880542,135.7782694,39.2108097,-43.58900959
177.9280675,144.5370865,20.83414459,-64.69665655
137.886912,172.941438,-14.99592765,-7.479182563
45.89912923,131.2709894,6.243892693,-49.00646655
203.5291341,157.5111338,55.62477683,78.41250198
55.20941288,52.3866876,131.4688505,35.18172836
135.7954044,161.765522,-49.31066894,-47.80799483
38.88797632,209.9770864,5.315430005,30.10039903
53.30480447,135.9789442,-23.24085744,51.73848217
126.2895033,76.10694535,83.88376746,227.6385956
138.7950808,70.79237664,43.96200817,34.33160527
81.79782772,97.34422365,121.8163166,18.39154879
204.3613383,144.6672581,31.27216912,27.31016287
-25.31709227,57.78716765,-18.12143517,-114.6038513
-11.07279717,92.79786906,118.295545,41.17470424
69.8073422,67.3053557,34.14562694,-85.15814971
183.6959381,146.280323,55.42577617,-201.9033941
136.1700306,73.67972627,37.8386744,-38.49091468
116.8559284,161.5140215,17.7301127,20.0207634
223.6028951,120.4903151,19.77502744,63.76401105
30.10321777,59.22334957,60.27224222,111.7686374
-2.33728218,170.5156314,89.60996497,-28.54373677
-3.433812777,117.6830896,164.8669103,28.08182654
79.62636567,158.0881796,181.0142609,-24.87681837
-28.49197769,106.0188885,23.48841986,-50.60278638
2.618583205,101.9466553,89.45606742,98.77830507
156.4958878,110.4937388,-6.432868957,50.72370973
74.80288046,167.6285106,65.402572,-87.72126517
206.8499451,76.24843343,51.90190952,152.8633992
54.03223547,71.09828057,130.2770157,204.4507396
75.54954066,59.07369361,-58.50639726,120.3326136
59.28171793,82.47165348,145.6334594,129.3559863
35.51801998,20.37391787,99.22419676,91.05717085
243.1218516,38.34586247,32.96190772,110.1341292
191.4521179,92.42681216,170.1705942,152.2983475
88.81649525,99.54418947,17.15301831,53.85551475
204.0410054,52.78256797,104.3974228,42.54511007
86.92224566,130.5934028,-96.11638578,110.0207774
101.3721492,155.5539478,52.29367478,-49.17043748
138.6745803,2.77565527,90.05959573,-22.42070264
47.84056791,29.73518245,150.0357874,50.21414579
113.6427002,68.73130093,130.9188004,-6.207367897
100.2190247,53.46609372,143.6264102,106.1132762
-220.784015,44.31629315,-12.91748046,78.02170921
146.1790898,-34.69565614,158.0535762,-3.582694347
71.11739097,112.9623311,155.8434364,55.48122087
106.9184977,15.22984886,157.7480367,81.79306221
34.56251782,147.9729144,234.7512868,-43.17550151
122.218605,218.1484222,230.6688639,34.91445255
-19.95991564,114.4524426,120.9784495,-32.89020729
204.0291087,52.25543213,246.9947306,23.22634505
152.8208733,-24.36503291,207.408254,52.65460905
49.7104149,-50.17960867,256.5284576,-128.5787252
118.3064939,-58.87397706,225.3103536,33.22424887
128.7032375,122.3284378,159.1048768,20.25307591
124.4130675,163.2880961,246.2147776,102.3460846
138.8540964,61.56984773,83.77747408,107.7114817
94.8366712,136.5621224,241.9647267,134.9696121
-44.72320112,154.6055838,-95.22432961,162.1081416
138.2011795,154.5096003,216.4788309,149.5907478
50.10745685,97.99411518,144.9492509,125.2055499
130.1481107,64.21358655,225.2512767,-45.13872289
33.56430246,131.2215982,231.9065196,162.6961632
12.94912211,219.4270426,230.2266388,133.2578824
-41.93199731,168.5365035,247.4299011,114.5436007
-23.13379002,220.7191773,204.7775014,79.16364543
107.309672,157.5971883,248.3180288,133.3645706
-9.522098222,249.7298686,214.5552928,-4.5824763
19.35664701,231.2683309,232.6395315,13.78257434
150.5923767,256.047526,250.8438822,155.5058409
72.70826084,128.8966599,151.7768993,203.4995651
1.679814339,105.1859487,190.1852074,240.8462474
159.334336,164.3853283,259.1803487,-53.60817083
68.05316353,237.6462759,237.5351715,3.419469203
119.4336535,278.9003906,185.0028449,96.33133887
126.9525445,175.8625285,53.39613979,157.3692566
139.6783358,246.7249908,160.560664,165.0711059
-42.64961687,256.0903676,104.7518431,-57.42828115
33.43109258,279.6488749,86.94370831,124.4471614
19.9422671,257.1594594,154.6085612,230.0017853
