Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
-90.19654846,-98.64651489,-100.7634659,-78.3286972,-81.00234985,-78.01103973,-96.6160965,-76.21647644,-78.25431824
-89.4078598,-95.95858002,-97.62736511,-77.61030579,-80.67839813,-77.9574585,-97.21928406,-75.97781372,-77.53773499
-88.68631744,-96.66487122,-98.22387695,-77.45630646,-79.277565,-77.57337189,-95.87909698,-77.22573853,-76.25406647
-88.78567505,-97.14757538,-98.54624939,-77.26073456,-77.8703537,-76.81041718,-95.40302277,-75.83112335,-75.1534729
-89.97845459,-97.1180191,-97.01043701,-76.50092316,-76.7215271,-76.53472137,-95.07396698,-75.27272034,-74.24282837
-88.63908386,-96.24809265,-95.82598877,-75.76157379,-76.01950836,-76.29576874,-93.56919861,-74.95563507,-73.69135284
-89.07208252,-96.13877106,-97.85561371,-75.60286713,-76.19367218,-75.53833771,-93.20279694,-72.63456726,-72.83518219
-87.61649323,-97.24586487,-95.83686829,-74.42897797,-74.99056244,-74.40468597,-93.27680206,-71.69688416,-71.413414
-88.05950165,-94.60543823,-95.29573059,-74.21496582,-74.2751236,-73.13610077,-92.59883118,-69.89434052,-70.09104919
-86.9276123,-94.42867279,-94.67333984,-74.34713745,-73.07012177,-72.54485321,-91.54653168,-70.04106903,-69.07241821
-87.24840546,-93.9775238,-93.82711029,-73.89286804,-73.77724457,-71.65719604,-91.00743103,-71.45101929,-67.81542206
-86.66638947,-93.02565765,-95.08547211,-73.64399719,-73.40009308,-71.66127014,-88.87740326,-71.38866425,-67.02392578
-87.46440125,-93.05149841,-94.17051697,-72.47138214,-74.00701904,-71.55487061,-86.80405426,-71.40010834,-66.76351929
-87.17980194,-93.61693573,-95.46202087,-69.53594971,-73.66561127,-71.12109375,-85.407547,-71.6312561,-66.13529968
-88.51057434,-94.14186096,-95.17203522,-70.10032654,-74.43526459,-70.34553528,-85.32256317,-71.25411987,-65.54803467
-87.99954224,-93.49971008,-94.01088715,-69.53362274,-74.45703125,-66.05222321,-84.33672333,-70.91503143,-65.90148163
-88.30340576,-92.58161163,-91.37490845,-71.27435303,-75.17830658,-65.92316437,-85.29866791,-71.78559113,-66.58133698
-87.9444046,-91.32852173,-90.85691071,-70.54431152,-74.22872162,-65.53551483,-85.58477783,-72.39861298,-65.719841
-86.90872955,-89.47073364,-89.83602142,-70.44792175,-73.68206024,-65.95291138,-85.04325867,-73.90454102,-65.51738739
-85.55435944,-89.05116272,-89.75637054,-69.75009918,-73.76548767,-65.32028961,-84.80358887,-73.53527832,-65.03220367
-84.23213959,-88.0242691,-89.36715698,-69.21941376,-73.89542389,-65.13781738,-84.75975037,-73.0493927,-64.32953644
-83.36248779,-89.13470459,-90.35611725,-73.53884125,-72.85127258,-64.48127747,-83.51787567,-74.52575684,-63.68006897
-82.69831848,-90.23309326,-90.11504364,-74.18283081,-73.26585388,-65.05323792,-82.75393677,-73.9650116,-63.29579163
-81.87343597,-91.25921631,-90.37575531,-73.79044342,-72.59234619,-68.10204315,-82.87591553,-76.27378845,-61.73525238
