batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-96.92354584,-94.11632538,-117.6839218,-96.3837738,-97.87444305,-103.9992218,-114.0853729,-97.62688446,-127.4912033,-83.12276459,-89.12477875,-89.78214264
-96.54496765,-92.76285553,-115.939743,-94.52178192,-96.23955536,-102.583931,-110.5319443,-95.10443878,-127.5491867,-83.13497162,-89.51378632,-89.54990387
-94.99304199,-92.52368164,-116.4021606,-92.35411072,-95.80966187,-102.7764893,-109.7880249,-94.65945435,-128.2098389,-82.31835175,-90.09621429,-89.23340607
-94.61302948,-92.67947388,-116.3163223,-92.72418976,-93.32287598,-100.560997,-111.5948486,-95.03800964,-128.9050751,-83.9092865,-89.4696579,-86.07958984
-96.0604248,-92.34145355,-115.3732605,-92.05554962,-90.27235413,-99.84675598,-109.834549,-91.83885193,-128.2980194,-87.74382782,-88.32429504,-82.84117889
-93.93506622,-92.25010681,-116.1598053,-91.00787354,-89.59856415,-99.8453598,-107.1976776,-92.18417358,-130.3644714,-87.91065979,-87.25295258,-82.97509003
-92.60063171,-91.42564392,-115.8945618,-89.92116547,-88.13514709,-101.8818817,-108.0305405,-92.72286224,-127.3203583,-85.06633759,-86.25862885,-83.08758545
-90.74608612,-90.56684113,-116.1346359,-89.03012848,-87.39069366,-101.2492371,-106.8564911,-92.77680969,-123.3773346,-84.89643097,-82.58338165,-83.08358765
-90.3169632,-89.52758026,-113.2402115,-89.36174774,-83.70553589,-101.0583038,-105.9817886,-93.18345642,-122.8754425,-82.66872406,-80.87794495,-82.53097534
-91.66624451,-91.54802704,-112.07061,-87.23971558,-82.01012421,-99.30266571,-107.160141,-92.01825714,-121.5835571,-82.99297333,-79.90986633,-82.93744659
-90.87728119,-91.38124084,-110.7167435,-86.04499817,-81.7539444,-98.40795135,-106.3146515,-92.14200592,-116.9876404,-83.07209015,-80.30828094,-81.72296906
-92.74786377,-88.76255798,-109.9311905,-85.25314331,-82.08439636,-97.572258,-106.8637466,-91.02217865,-114.7873306,-79.68299866,-79.77983093,-82.44902802
-90.99116516,-88.52333069,-107.2159119,-83.14977264,-79.95574188,-97.64408112,-106.6906052,-91.62832642,-112.4640808,-79.2216568,-79.24066162,-82.51766968
-90.98773193,-88.36660004,-107.6461029,-82.0022583,-78.85726929,-95.18907166,-105.9210587,-92.06056213,-111.6919556,-79.8477478,-79.17173004,-82.0309906
-90.09366608,-89.42196655,-106.5764389,-81.51309204,-78.7105484,-95.73394775,-105.144371,-92.37510681,-110.9701309,-79.35900879,-79.03870392,-82.42983246
-89.72976685,-88.71929932,-105.2320251,-81.54782104,-78.83269501,-96.83534241,-106.2918167,-92.03715515,-110.5453339,-80.06735229,-77.84780884,-82.70028687
-87.99163818,-91.03591156,-103.8829498,-79.84025574,-78.27554321,-96.91039276,-103.6245956,-91.16247559,-110.5106888,-78.90953064,-77.10837555,-80.48539734
